Data;20634 - Concessões de crédito com recursos livres - Total - R$ (milhões);20635 - Concessões de crédito com recursos livres - Pessoas jurídicas - Total - R$ (milhões);20662 - Concessões de crédito com recursos livres - Pessoas físicas - Total - R$ (milhões);20685 - Concessões de crédito com recursos direcionados - Total - R$ (milhões);20686 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Total - R$ (milhões);20698 - Concessões de crédito com recursos direcionados - Pessoas físicas - Total - R$ (milhões)
03/2011;192.480 ;111.138 ;81.342 ;23.174 ;13.885 ;9.289
04/2011;181.292 ;104.922 ;76.370 ;22.430 ;12.696 ;9.734
05/2011;202.150 ;115.169 ;86.981 ;25.679 ;14.236 ;11.443
06/2011;200.623 ;115.286 ;85.337 ;29.253 ;16.843 ;12.410
07/2011;193.708 ;109.709 ;84.000 ;28.639 ;17.045 ;11.593
08/2011;216.250 ;124.513 ;91.737 ;33.191 ;17.873 ;15.317
09/2011;202.974 ;114.845 ;88.129 ;30.067 ;15.800 ;14.267
10/2011;195.452 ;108.814 ;86.639 ;27.045 ;15.398 ;11.647
11/2011;209.103 ;118.129 ;90.974 ;32.369 ;19.501 ;12.869
12/2011;229.394 ;132.764 ;96.629 ;40.141 ;26.687 ;13.454
01/2012;192.708 ;105.158 ;87.551 ;21.656 ;11.072 ;10.584
02/2012;182.427 ;99.526 ;82.900 ;21.723 ;12.084 ;9.638
03/2012;215.826 ;125.467 ;90.358 ;25.863 ;13.677 ;12.186
04/2012;207.523 ;117.905 ;89.618 ;25.155 ;13.904 ;11.251
05/2012;226.037 ;129.483 ;96.553 ;29.814 ;15.811 ;14.002
06/2012;214.348 ;126.160 ;88.188 ;29.899 ;15.393 ;14.506
07/2012;210.938 ;120.018 ;90.920 ;31.303 ;18.446 ;12.857
08/2012;215.755 ;124.494 ;91.261 ;38.724 ;19.987 ;18.738
09/2012;199.684 ;115.222 ;84.462 ;35.389 ;20.173 ;15.216
10/2012;231.345 ;130.091 ;101.255 ;40.766 ;23.053 ;17.714
11/2012;219.250 ;123.423 ;95.827 ;36.176 ;19.069 ;17.106
12/2012;233.730 ;132.502 ;101.228 ;57.365 ;38.447 ;18.918
01/2013;210.573 ;111.507 ;99.066 ;29.261 ;15.695 ;13.566
02/2013;196.797 ;106.469 ;90.327 ;29.971 ;17.506 ;12.465
03/2013;217.079 ;121.380 ;95.699 ;36.750 ;20.492 ;16.258
04/2013;229.352 ;124.546 ;104.806 ;40.638 ;22.311 ;18.327
05/2013;240.857 ;135.857 ;104.999 ;45.104 ;25.573 ;19.531
06/2013;224.480 ;127.429 ;97.051 ;54.339 ;31.510 ;22.828
07/2013;228.693 ;121.126 ;107.567 ;37.382 ;18.315 ;19.067
08/2013;227.021 ;121.301 ;105.721 ;45.118 ;23.178 ;21.940
09/2013;227.163 ;124.721 ;102.442 ;41.692 ;21.829 ;19.863
10/2013;239.284 ;129.654 ;109.630 ;43.918 ;23.152 ;20.766
11/2013;230.368 ;125.335 ;105.033 ;42.557 ;22.521 ;20.036
12/2013;262.220 ;143.698 ;118.521 ;61.946 ;38.784 ;23.161
01/2014;220.684 ;112.348 ;108.337 ;38.206 ;21.843 ;16.363
02/2014;221.066 ;114.829 ;106.237 ;40.010 ;23.300 ;16.710
03/2014;229.414 ;124.029 ;105.385 ;40.500 ;24.648 ;15.853
04/2014;233.117 ;124.741 ;108.376 ;41.329 ;22.542 ;18.787
05/2014;239.948 ;127.985 ;111.963 ;41.946 ;19.237 ;22.709
06/2014;237.567 ;129.176 ;108.390 ;47.873 ;25.000 ;22.873
07/2014;232.139 ;117.292 ;114.847 ;41.574 ;20.842 ;20.732
08/2014;225.830 ;116.285 ;109.546 ;45.862 ;22.218 ;23.645
09/2014;246.191 ;129.822 ;116.369 ;49.569 ;25.445 ;24.124
10/2014;247.956 ;123.865 ;124.091 ;47.174 ;24.214 ;22.960
11/2014;233.007 ;120.617 ;112.390 ;42.238 ;21.656 ;20.582
12/2014;278.564 ;148.459 ;130.105 ;58.424 ;34.339 ;24.086
01/2015;225.064 ;112.047 ;113.017 ;33.571 ;15.631 ;17.940
02/2015;203.089 ;102.067 ;101.022 ;26.785 ;13.071 ;13.714
03/2015;253.029 ;133.943 ;119.086 ;38.247 ;20.472 ;17.775
04/2015;233.516 ;121.802 ;111.715 ;36.492 ;18.554 ;17.938
05/2015;234.794 ;121.545 ;113.250 ;33.774 ;18.148 ;15.626
06/2015;246.950 ;132.801 ;114.149 ;41.764 ;22.980 ;18.784
07/2015;234.452 ;119.828 ;114.625 ;36.505 ;17.877 ;18.628
08/2015;224.672 ;113.589 ;111.083 ;35.871 ;15.261 ;20.610
09/2015;235.886 ;125.484 ;110.402 ;39.446 ;20.950 ;18.497
10/2015;226.431 ;116.933 ;109.498 ;34.722 ;19.070 ;15.652
11/2015;233.154 ;118.519 ;114.635 ;33.956 ;17.765 ;16.190
12/2015;265.343 ;143.840 ;121.503 ;46.927 ;28.130 ;18.797
01/2016;200.658 ;97.151 ;103.508 ;20.433 ;9.855 ;10.578
02/2016;205.487 ;99.433 ;106.054 ;20.736 ;9.430 ;11.306
03/2016;231.281 ;118.772 ;112.509 ;29.000 ;14.250 ;14.750
04/2016;211.721 ;105.583 ;106.139 ;27.932 ;13.380 ;14.552
05/2016;227.095 ;112.566 ;114.529 ;27.227 ;12.162 ;15.065
06/2016;229.664 ;115.862 ;113.802 ;37.744 ;18.164 ;19.580
07/2016;205.877 ;95.447 ;110.430 ;28.591 ;14.313 ;14.278
08/2016;221.869 ;102.841 ;119.029 ;30.117 ;12.409 ;17.708
09/2016;219.440 ;110.601 ;108.839 ;28.138 ;13.278 ;14.859
10/2016;216.059 ;101.911 ;114.147 ;25.038 ;10.984 ;14.055
11/2016;227.695 ;107.195 ;120.500 ;28.555 ;12.514 ;16.041
12/2016;249.582 ;126.055 ;123.526 ;39.886 ;19.083 ;20.803
01/2017;212.483 ;95.720 ;116.764 ;19.701 ;7.599 ;12.101
02/2017;187.407 ;85.414 ;101.993 ;20.070 ;8.149 ;11.921
03/2017;249.510 ;120.173 ;129.337 ;24.869 ;9.957 ;14.912
04/2017;202.388 ;92.445 ;109.942 ;25.499 ;11.949 ;13.549
05/2017;233.296 ;105.398 ;127.898 ;27.653 ;10.961 ;16.692
06/2017;244.643 ;120.903 ;123.740 ;33.657 ;13.932 ;19.725
07/2017;215.887 ;93.596 ;122.292 ;24.799 ;9.886 ;14.913
08/2017;236.178 ;109.656 ;126.522 ;29.854 ;9.508 ;20.347
09/2017;225.178 ;106.287 ;118.891 ;26.677 ;9.803 ;16.874
10/2017;236.677 ;106.968 ;129.709 ;27.340 ;10.562 ;16.778
11/2017;245.740 ;112.314 ;133.426 ;25.384 ;9.567 ;15.818
12/2017;273.365 ;139.801 ;133.564 ;32.361 ;16.412 ;15.950
01/2018;236.917 ;103.533 ;133.384 ;18.631 ;6.383 ;12.248
02/2018;227.245 ;107.978 ;119.267 ;17.572 ;6.269 ;11.303
03/2018;257.883 ;126.197 ;131.686 ;23.785 ;9.606 ;14.179
04/2018;255.152 ;122.926 ;132.227 ;24.948 ;9.534 ;15.414
05/2018;255.651 ;119.829 ;135.822 ;27.637 ;11.123 ;16.513
06/2018;261.880 ;130.727 ;131.153 ;30.190 ;11.565 ;18.625
07/2018;253.479 ;118.020 ;135.459 ;25.109 ;8.764 ;16.345
08/2018;274.233 ;128.992 ;145.241 ;36.266 ;14.007 ;22.259
09/2018;249.207 ;121.657 ;127.550 ;28.327 ;8.534 ;19.794
10/2018;274.448 ;128.634 ;145.814 ;28.998 ;7.986 ;21.012
11/2018;279.941 ;124.684 ;155.258 ;28.071 ;9.779 ;18.292
12/2018;303.250 ;151.323 ;151.927 ;37.544 ;18.943 ;18.601
01/2019;265.018 ;116.596 ;148.422 ;19.001 ;7.331 ;11.670
02/2019;262.495 ;121.315 ;141.180 ;21.724 ;7.562 ;14.162
03/2019;275.999 ;134.714 ;141.285 ;21.678 ;6.937 ;14.741
04/2019;281.187 ;129.204 ;151.983 ;23.609 ;6.088 ;17.521
05/2019;302.157 ;143.706 ;158.451 ;27.803 ;7.554 ;20.249
06/2019;287.714 ;141.549 ;146.165 ;31.245 ;9.963 ;21.283
07/2019;301.318 ;135.449 ;165.869 ;27.673 ;7.757 ;19.916
08/2019;299.568 ;139.675 ;159.893 ;32.738 ;10.280 ;22.458
09/2019;308.321 ;149.510 ;158.811 ;31.663 ;9.021 ;22.642
10/2019;317.159 ;147.031 ;170.128 ;33.320 ;9.032 ;24.288
11/2019;315.868 ;148.522 ;167.346 ;31.153 ;10.039 ;21.114
12/2019;372.248 ;187.283 ;184.965 ;32.376 ;10.478 ;21.897
01/2020;300.555 ;131.316 ;169.238 ;20.982 ;5.391 ;15.591
02/2020;287.226 ;133.934 ;153.292 ;20.205 ;5.171 ;15.034
03/2020;368.253 ;214.556 ;153.698 ;27.205 ;8.015 ;19.190
04/2020;265.425 ;143.924 ;121.500 ;31.184 ;11.159 ;20.026
05/2020;250.692 ;126.535 ;124.156 ;34.701 ;13.940 ;20.761
06/2020;282.912 ;141.506 ;141.406 ;38.047 ;14.448 ;23.599
07/2020;284.563 ;134.451 ;150.112 ;59.274 ;33.063 ;26.211
08/2020;280.412 ;126.946 ;153.465 ;65.708 ;35.787 ;29.921
09/2020;302.629 ;142.048 ;160.581 ;65.881 ;36.616 ;29.265
10/2020;305.654 ;136.937 ;168.718 ;46.695 ;17.681 ;29.014
11/2020;328.155 ;148.627 ;179.529 ;49.700 ;22.281 ;27.419
12/2020;350.422 ;168.456 ;181.966 ;50.233 ;20.875 ;29.357
01/2021;270.114 ;116.518 ;153.596 ;25.281 ;5.312 ;19.969
02/2021;284.569 ;130.776 ;153.793 ;28.597 ;7.355 ;21.242
03/2021;364.180 ;191.802 ;172.379 ;42.469 ;11.486 ;30.983
04/2021;339.300 ;166.738 ;172.562 ;39.334 ;7.551 ;31.784
05/2021;357.204 ;169.365 ;187.839 ;44.260 ;9.543 ;34.717
06/2021;378.166 ;188.557 ;189.609 ;48.669 ;11.493 ;37.176
07/2021;355.109 ;161.419 ;193.690 ;63.034 ;26.590 ;36.444
08/2021;379.379 ;173.595 ;205.784 ;58.056 ;15.525 ;42.532
09/2021;392.448 ;190.057 ;202.391 ;58.711 ;18.923 ;39.788
10/2021;385.548 ;183.168 ;202.380 ;47.027 ;10.558 ;36.469
11/2021;419.210 ;195.219 ;223.990 ;44.985 ;9.727 ;35.258
12/2021;456.760 ;232.126 ;224.634 ;48.794 ;13.476 ;35.317
01/2022;378.725 ;178.243 ;200.482 ;32.304 ;6.979 ;25.325
02/2022;368.398 ;181.252 ;187.146 ;33.833 ;11.017 ;22.815
03/2022;472.399 ;242.336 ;230.064 ;44.366 ;15.359 ;29.007
04/2022;424.136 ;200.814 ;223.322 ;38.474 ;10.506 ;27.968
05/2022;457.752 ;218.693 ;239.059 ;49.403 ;14.909 ;34.494
06/2022;448.319 ;221.138 ;227.180 ;58.924 ;16.002 ;42.922
07/2022;426.381 ;198.956 ;227.425 ;64.503 ;18.325 ;46.178
08/2022;461.329 ;217.395 ;243.934 ;83.658 ;27.009 ;56.649
09/2022;461.192 ;224.562 ;236.630 ;71.182 ;21.087 ;50.095
10/2022;444.958 ;200.206 ;244.752 ;59.863 ;18.256 ;41.607
11/2022;457.610 ;206.361 ;251.249 ;55.848 ;18.566 ;37.282
12/2022;498.397 ;247.105 ;251.291 ;58.635 ;21.581 ;37.053
01/2023;432.794 ;189.966 ;242.828 ;41.778 ;12.238 ;29.540
02/2023;391.495 ;173.309 ;218.186 ;37.984 ;12.134 ;25.850
03/2023;480.328 ;228.136 ;252.192 ;56.856 ;19.268 ;37.588
04/2023;403.725 ;176.611 ;227.114 ;42.274 ;13.228 ;29.046
05/2023;463.452 ;207.253 ;256.199 ;53.113 ;17.891 ;35.222
06/2023;473.135 ;226.501 ;246.634 ;53.229 ;17.282 ;35.947
07/2023;433.511 ;185.436 ;248.075 ;66.888 ;22.690 ;44.199
08/2023;464.855 ;202.474 ;262.382 ;93.092 ;32.349 ;60.743
09/2023;474.923 ;225.206 ;249.716 ;73.339 ;21.878 ;51.462
10/2023;472.216 ;205.345 ;266.872 ;70.289 ;23.981 ;46.308
11/2023;494.771 ;217.501 ;277.270 ;58.764 ;18.499 ;40.265
12/2023;537.091 ;265.098 ;271.993 ;61.287 ;22.091 ;39.195
01/2024;488.146 ;205.864 ;282.282 ;46.497 ;14.044 ;32.453
02/2024;459.567 ;201.806 ;257.761 ;46.526 ;12.509 ;34.017
03/2024;509.080 ;242.434 ;266.646 ;60.414 ;21.728 ;38.686
04/2024;510.750 ;229.872 ;280.878 ;57.600 ;17.575 ;40.025
05/2024;514.431 ;226.296 ;288.135 ;60.587 ;19.280 ;41.308
06/2024;531.376 ;257.021 ;274.356 ;62.355 ;22.960 ;39.395
07/2024;554.382 ;249.429 ;304.953 ;65.173 ;19.029 ;46.144
08/2024;541.677 ;251.309 ;290.368 ;84.994 ;28.603 ;56.391
09/2024;562.164 ;268.514 ;293.650 ;76.871 ;22.573 ;54.298
10/2024;567.476 ;257.922 ;309.554 ;81.550 ;32.694 ;48.856
11/2024;556.273 ;253.835 ;302.438 ;63.731 ;23.624 ;40.107
12/2024;626.530 ;310.387 ;316.143 ;71.329 ;29.571 ;41.758
01/2025;533.738 ;235.701 ;298.037 ;52.120 ;16.431 ;35.689
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
