data;var_%_ipca_12m
1994-01-01;2693,84
1994-02-01;3035,71
1994-03-01;3417,39
1994-04-01;3828,49
1994-05-01;4331,19
1994-06-01;4922,6
1994-07-01;4005,08
1994-08-01;3044,89
1994-09-01;2253,15
1994-10-01;1703,17
1994-11-01;1267,54
1994-12-01;916,46
1995-01-01;631,54
1995-02-01;426,83
1995-03-01;274,78
1995-04-01;169,05
1995-05-01;91,79
1995-06-01;33,03
1995-07-01;27,45
1995-08-01;26,36
1995-09-01;25,69
1995-10-01;24,21
1995-11-01;22,59
1995-12-01;22,41
1996-01-01;21,97
1996-02-01;21,99
1996-03-01;20,55
1996-04-01;19,17
1996-05-01;17,49
1996-06-01;16,26
1996-07-01;14,84
1996-08-01;14,21
1996-09-01;13,26
1996-10-01;12,02
1996-11-01;10,75
1996-12-01;9,56
1997-01-01;9,39
1997-02-01;8,82
1997-03-01;8,99
1997-04-01;8,58
1997-05-01;7,71
1997-06-01;7,02
1997-07-01;6,08
1997-08-01;5,59
1997-09-01;5,5
1997-10-01;5,42
1997-11-01;5,27
1997-12-01;5,22
1998-01-01;4,73
1998-02-01;4,69
1998-03-01;4,52
1998-04-01;3,85
1998-05-01;3,95
1998-06-01;3,41
1998-07-01;3,06
1998-08-01;2,55
1998-09-01;2,27
1998-10-01;2,05
1998-11-01;1,76
1998-12-01;1,65
1999-01-01;1,65
1999-02-01;2,24
1999-03-01;3,02
1999-04-01;3,35
1999-05-01;3,14
1999-06-01;3,32
1999-07-01;4,57
1999-08-01;5,69
1999-09-01;6,25
1999-10-01;7,5
1999-11-01;8,65
1999-12-01;8,94
2000-01-01;8,85
2000-02-01;7,86
2000-03-01;6,92
2000-04-01;6,77
2000-05-01;6,47
2000-06-01;6,51
2000-07-01;7,06
2000-08-01;7,86
2000-09-01;7,77
2000-10-01;6,65
2000-11-01;5,99
2000-12-01;5,97
2001-01-01;5,92
2001-02-01;6,27
2001-03-01;6,44
2001-04-01;6,61
2001-05-01;7,04
2001-06-01;7,35
2001-07-01;7,05
2001-08-01;6,41
2001-09-01;6,46
2001-10-01;7,19
2001-11-01;7,61
2001-12-01;7,67
2002-01-01;7,62
2002-02-01;7,51
2002-03-01;7,75
2002-04-01;7,98
2002-05-01;7,77
2002-06-01;7,66
2002-07-01;7,51
2002-08-01;7,46
2002-09-01;7,93
2002-10-01;8,45
2002-11-01;10,93
2002-12-01;12,53
2003-01-01;14,47
2003-02-01;15,85
2003-03-01;16,57
2003-04-01;16,77
2003-05-01;17,24
2003-06-01;16,57
2003-07-01;15,43
2003-08-01;15,07
2003-09-01;15,14
2003-10-01;13,98
2003-11-01;11,02
2003-12-01;9,3
2004-01-01;7,71
2004-02-01;6,69
2004-03-01;5,89
2004-04-01;5,26
2004-05-01;5,15
2004-06-01;6,06
2004-07-01;6,81
2004-08-01;7,18
2004-09-01;6,7
2004-10-01;6,86
2004-11-01;7,24
2004-12-01;7,6
2005-01-01;7,41
2005-02-01;7,39
2005-03-01;7,54
2005-04-01;8,07
2005-05-01;8,05
2005-06-01;7,27
2005-07-01;6,57
2005-08-01;6,02
2005-09-01;6,04
2005-10-01;6,36
2005-11-01;6,22
2005-12-01;5,69
2006-01-01;5,7
2006-02-01;5,51
2006-03-01;5,32
2006-04-01;4,63
2006-05-01;4,23
2006-06-01;4,03
2006-07-01;3,97
2006-08-01;3,84
2006-09-01;3,7
2006-10-01;3,26
2006-11-01;3,02
2006-12-01;3,14
2007-01-01;2,99
2007-02-01;3,02
2007-03-01;2,96
2007-04-01;3
2007-05-01;3,18
2007-06-01;3,69
2007-07-01;3,74
2007-08-01;4,18
2007-09-01;4,15
2007-10-01;4,12
2007-11-01;4,19
2007-12-01;4,46
2008-01-01;4,56
2008-02-01;4,61
2008-03-01;4,73
2008-04-01;5,04
2008-05-01;5,58
2008-06-01;6,06
2008-07-01;6,37
2008-08-01;6,17
2008-09-01;6,25
2008-10-01;6,41
2008-11-01;6,39
2008-12-01;5,9
2009-01-01;5,84
2009-02-01;5,9
2009-03-01;5,61
2009-04-01;5,53
2009-05-01;5,2
2009-06-01;4,8
2009-07-01;4,5
2009-08-01;4,36
2009-09-01;4,34
2009-10-01;4,17
2009-11-01;4,22
2009-12-01;4,31
2010-01-01;4,59
2010-02-01;4,83
2010-03-01;5,17
2010-04-01;5,26
2010-05-01;5,22
2010-06-01;4,84
2010-07-01;4,6
2010-08-01;4,49
2010-09-01;4,7
2010-10-01;5,2
2010-11-01;5,63
2010-12-01;5,91
2011-01-01;5,99
2011-02-01;6,01
2011-03-01;6,3
2011-04-01;6,51
2011-05-01;6,55
2011-06-01;6,71
2011-07-01;6,87
2011-08-01;7,23
2011-09-01;7,31
2011-10-01;6,97
2011-11-01;6,64
2011-12-01;6,5
2012-01-01;6,22
2012-02-01;5,85
2012-03-01;5,24
2012-04-01;5,1
2012-05-01;4,99
2012-06-01;4,92
2012-07-01;5,2
2012-08-01;5,24
2012-09-01;5,28
2012-10-01;5,45
2012-11-01;5,53
2012-12-01;5,84
2013-01-01;6,15
2013-02-01;6,31
2013-03-01;6,59
2013-04-01;6,49
2013-05-01;6,5
2013-06-01;6,7
2013-07-01;6,27
2013-08-01;6,09
2013-09-01;5,86
2013-10-01;5,84
2013-11-01;5,77
2013-12-01;5,91
2014-01-01;5,59
2014-02-01;5,68
2014-03-01;6,15
2014-04-01;6,28
2014-05-01;6,37
2014-06-01;6,52
2014-07-01;6,5
2014-08-01;6,51
2014-09-01;6,75
2014-10-01;6,59
2014-11-01;6,56
2014-12-01;6,41
2015-01-01;7,14
2015-02-01;7,7
2015-03-01;8,13
2015-04-01;8,17
2015-05-01;8,47
2015-06-01;8,89
2015-07-01;9,56
2015-08-01;9,53
2015-09-01;9,49
2015-10-01;9,93
2015-11-01;10,48
2015-12-01;10,67
2016-01-01;10,71
2016-02-01;10,36
2016-03-01;9,39
2016-04-01;9,28
2016-05-01;9,32
2016-06-01;8,84
2016-07-01;8,74
2016-08-01;8,97
2016-09-01;8,48
2016-10-01;7,87
2016-11-01;6,99
2016-12-01;6,29
2017-01-01;5,35
2017-02-01;4,76
2017-03-01;4,57
2017-04-01;4,08
2017-05-01;3,6
2017-06-01;3
2017-07-01;2,71
2017-08-01;2,46
2017-09-01;2,54
2017-10-01;2,7
2017-11-01;2,8
2017-12-01;2,95
2018-01-01;2,86
2018-02-01;2,84
2018-03-01;2,68
2018-04-01;2,76
2018-05-01;2,86
2018-06-01;4,39
2018-07-01;4,48
2018-08-01;4,19
2018-09-01;4,53
2018-10-01;4,56
2018-11-01;4,05
2018-12-01;3,75
2019-01-01;3,78
2019-02-01;3,89
2019-03-01;4,58
2019-04-01;4,94
2019-05-01;4,66
2019-06-01;3,37
2019-07-01;3,22
2019-08-01;3,43
2019-09-01;2,89
2019-10-01;2,54
2019-11-01;3,27
2019-12-01;4,31
2020-01-01;4,19
2020-02-01;4,01
2020-03-01;3,3
2020-04-01;2,4
2020-05-01;1,88
2020-06-01;2,13
2020-07-01;2,31
2020-08-01;2,44
2020-09-01;3,14
2020-10-01;3,92
2020-11-01;4,31
2020-12-01;4,52
2021-01-01;4,56
2021-02-01;5,2
2021-03-01;6,1
2021-04-01;6,76
2021-05-01;8,06
2021-06-01;8,35
2021-07-01;8,99
2021-08-01;9,68
2021-09-01;10,25
2021-10-01;10,67
2021-11-01;10,74
2021-12-01;10,06
2022-01-01;10,38
2022-02-01;10,54
2022-03-01;11,3
2022-04-01;12,13
2022-05-01;11,73
2022-06-01;11,89
2022-07-01;10,07
2022-08-01;8,73
2022-09-01;7,17
2022-10-01;6,47
2022-11-01;5,9
2022-12-01;5,79
2023-01-01;5,77
2023-02-01;5,6
2023-03-01;4,65
2023-04-01;4,18
2023-05-01;3,94
2023-06-01;3,16
2023-07-01;3,99
2023-08-01;4,61
2023-09-01;5,19
2023-10-01;4,82
2023-11-01;4,68
2023-12-01;4,62
2024-01-01;4,51
2024-02-01;4,5
2024-03-01;3,93
2024-04-01;3,69
2024-05-01;3,93
2024-06-01;4,23
2024-07-01;4,5
2024-08-01;4,24
2024-09-01;4,42
2024-10-01;4,76
2024-11-01;4,87
2024-12-01;4,83
2025-01-01;4,56
2025-02-01;5,06
